scheme_name,ministry_or_department,category,eligibility,benefits,max_assistance,application_process,official_link,status
NIDHI-PRAYAS,DBT/NSF,Prototype Funding,Early-stage founders,Grant for prototype,₹10 lakh,Incubators,nstedb.com,Active
NIDHI-EIR,DBT/NSF,Founder Stipend,Early founders,Stipend for 1 yr,N/A,Incubators,nstedb.com,Active
MSME Champions Scheme,MSME,Support,MSMEs,Tech/Quality support,N/A,Online,msme.gov.in,Active
Credit Linked Capital Subsidy,MSME,Tech Upgrade,MSMEs,15% subsidy,₹15 lakh,Online,msme.gov.in,Active
Market Access Initiative,Commerce Ministry,Marketing,Export-ready startups,Subsidy for shows,N/A,commerce.gov.in,Active
Export Promotion Capital Goods,Commerce,Manufacturing exporters,Zero-duty machinery imports,N/A,Apply DGFT,dgft.gov.in,Active
Atal Incubation Centre,NITI Aayog,Incubation,Early startups,Grant + space,N/A,AIM portal,aim.gov.in,Active
Atal New India Challenge,NITI/MeitY,Innovation,Tech founders,Grant support,N/A,AIM portal,aim.gov.in,Active
MSME Samadhan,MSME,Payment Recovery,MSMEs,Delayed payment resolution,N/A,Online,samadhan.msme.gov.in,Active
MSME Sambandh,MSME,Procurement,MSMEs,PSU procurement monitoring,N/A,Portal,sambandh.msme.gov.in,Active
Digital MSME Scheme,MSME,Technology,SaaS adoption support,Subsidy for ERP/tech,N/A,Portal,msme.gov.in,Active
eBiz Portal,MeitY,Single Window,All entrepreneurs,Unified business services,N/A,Portal,ebiz.gov.in,Active
Single Window Tamil Nadu,TN Govt,State Support,New companies,Registrations + approvals,N/A,Portal,tnswp.com,Active
Karnataka Udyami Mitra,Karnataka,State Aid,MSMEs,Single-window,N/A,Portal,kum.karnataka.gov.in,Active
Maharashtra Package Scheme,Maharashtra,State Incentive,Manufacturing units,"Tax + capital subsidies",N/A,DIC Office,maharashtra.gov.in,Active
Gujarat StartUp Scheme,Gujarat Govt,State Funding,Tech startups,Seed support,₹30 lakh,startup.gujarat.gov.in,Active

